gameid,clkTime,roundNum,condition,clickStatus,clickColH,clickColS,clickColL,clickLocS,clickLocL,alt1Status,alt1ColH,alt1ColS,alt1ColL,alt1LocS,alt1LocL,alt2Status,alt2ColH,alt2ColS,alt2ColL,alt2LocS,alt2LocL,targetD1Diff,targetD2Diff,D1D2Diff,outcome,msgTime,role,contents,workerid_uniq,numOutcome,numRawWords,numRawChars,numCleanChars,numCleanWords,source
8762-f,1477005760804.0,42,close,target,306,27,50,3,3,distr2,287,13,50,2,1,distr1,320,5,50,1,2,18,9,10,True,1477005742536.0,speaker,purple,44.0,1.0,1,6,6.0,1.0,human
4380-e,1476989377448.0,9,far,target,134,77,50,3,1,distr1,348,33,50,2,2,distr2,256,89,50,1,3,75,75,34,True,1476989371153.0,speaker,"wow, good job",342.0,1.0,3,10,10.0,3.0,human
8772-f,1476479858659.0,12,split,target,237,38,50,2,2,distr1,262,52,50,3,1,distr2,4,61,50,1,3,10,41,40,True,1476479854201.0,speaker,duller blue,232.0,1.0,2,10,10.0,2.0,human
8727-a,1476488468603.0,39,far,target,349,53,50,2,2,distr1,309,60,50,1,1,distr2,136,94,50,3,3,22,87,101,True,1476488465348.0,speaker,rose pink one,345.0,1.0,3,11,11.0,3.0,human
2242-7,1476499945310.0,40,split,target,102,80,50,1,2,distr1,85,60,50,3,3,distr2,295,82,50,2,1,8,104,94,True,1476499936710.0,speaker,sorry,286.0,1.0,1,5,5.0,1.0,human
3596-8,1476493057766.0,48,close,target,32,95,50,3,3,distr1,15,69,50,2,1,distr2,25,98,50,1,2,19,9,12,True,1476493033636.0,speaker,lol sorry,767.0,1.0,2,8,8.0,2.0,human
9713-c,1476488319149.0,12,close,target,123,49,50,2,1,distr2,154,48,50,1,2,distr1,128,71,50,3,3,8,12,16,True,1476488299871.0,speaker,grren,549.0,1.0,1,5,5.0,1.0,human
1925-1,1476991056034.0,44,split,distr2,215,34,50,1,2,distr1,138,69,50,2,3,target,151,48,50,3,1,11,42,52,False,1476991053783.0,speaker,teal,245.0,0.0,1,4,4.0,1.0,human
1359-d,1476993874857.0,12,split,target,210,9,50,1,2,distr1,28,4,50,3,1,distr2,38,69,50,2,3,10,37,27,True,1476993873290.0,listener,okay,570.0,1.0,1,4,4.0,1.0,human
8663-3,1476504811878.0,49,close,target,239,87,50,2,1,distr1,286,56,50,3,3,distr2,248,29,50,1,2,19,19,16,True,1476504760640.0,speaker,im feelin blue,819.0,1.0,3,12,12.0,3.0,human
5913-4,1476991802274.0,32,far,target,210,41,50,3,2,distr2,184,64,50,1,3,distr1,60,45,50,2,1,56,27,37,True,1476991800828.0,speaker,dark blue,,1.0,2,8,8.0,2.0,human
6771-0,1476996831623.0,43,far,target,233,42,50,3,1,distr2,342,71,50,2,3,distr1,190,12,50,1,2,24,36,37,True,1476996829833.0,speaker,violet blue,565.0,1.0,2,10,10.0,2.0,human
3671-d,1476491401247.0,50,split,target,218,42,50,3,1,distr1,203,8,50,2,2,distr2,2,55,50,1,3,16,41,35,True,1476491390407.0,speaker,blue,286.0,1.0,1,4,4.0,1.0,human
5042-9,1476473160948.0,13,close,target,80,22,50,3,3,distr1,78,31,50,2,2,distr2,132,45,50,1,1,5,15,13,True,1476473145221.0,speaker,greenish brownish gray,689.0,1.0,3,20,20.0,3.0,human
6631-5,1476989064330.0,8,close,distr2,320,23,50,3,2,distr1,351,31,50,2,3,target,349,11,50,1,1,13,12,12,False,1476989058758.0,speaker,light plum greyish,281.0,0.0,3,16,16.0,3.0,human
5568-1,1459899349900.0,31,close,target,1,49,50,1,2,distr1,339,27,50,2,1,distr2,351,42,50,3,3,16,8,9,True,1459899348491.0,speaker,firetruck,110.0,1.0,1,9,9.0,1.0,human
8730-c,1459891490815.0,14,split,target,337,50,50,3,2,distr2,102,6,50,2,1,distr1,12,36,50,1,3,19,40,31,True,1459891489600.0,speaker,pink brightest,94.0,1.0,2,13,13.0,2.0,human
3159-0,1476995752805.0,36,far,target,236,71,50,2,1,distr1,148,75,50,3,2,distr2,26,25,50,1,3,71,48,43,True,1476995751243.0,speaker,blue,345.0,1.0,1,4,4.0,1.0,human
4131-6,1476996272268.0,16,close,target,166,12,50,3,2,distr2,167,52,50,1,1,distr1,158,43,50,2,3,17,18,5,True,1476996265826.0,speaker,dullist color,302.0,1.0,2,12,12.0,2.0,human
3225-1,1476998057956.0,48,far,target,312,79,50,2,3,distr1,69,77,50,3,1,distr2,198,60,50,1,2,89,53,58,True,1476998051471.0,speaker,pink,330.0,1.0,1,4,4.0,1.0,human
3791-8,1476990102007.0,27,close,target,346,21,50,2,1,distr1,343,48,50,3,3,distr2,352,71,50,1,2,11,19,12,True,1476990100606.0,speaker,The lightest pink,497.0,1.0,3,15,12.0,2.0,human
5896-6,1476990304378.0,11,close,target,154,38,50,1,2,distr1,101,57,50,2,3,distr2,84,42,50,3,1,18,17,8,True,1476990303196.0,listener,k,452.0,1.0,1,1,1.0,1.0,human
3059-d,1476493894247.0,16,close,target,342,94,50,1,1,distr2,356,78,50,2,2,distr1,2,96,50,3,3,15,9,8,True,1476493886390.0,speaker,pinkish,877.0,1.0,1,7,7.0,1.0,human
