gameid,clkTime,roundNum,condition,clickStatus,clickColH,clickColS,clickColL,clickLocS,clickLocL,alt1Status,alt1ColH,alt1ColS,alt1ColL,alt1LocS,alt1LocL,alt2Status,alt2ColH,alt2ColS,alt2ColL,alt2LocS,alt2LocL,targetD1Diff,targetD2Diff,D1D2Diff,outcome,msgTime,role,contents,workerid_uniq,numOutcome,numRawWords,numRawChars,numCleanChars,numCleanWords,source
8086-2,1476989700533.0,7,split,target,93,26,50,2,1,distr2,279,5,50,3,2,distr1,114,38,50,1,3,8,36,35,True,1476989698130.0,speaker,dull green,318.0,1.0,2,9,9.0,2.0,human
1361-b,1476990087794.0,14,split,target,154,0,50,3,3,distr2,79,32,50,1,2,distr1,308,7,50,2,1,12,25,40,True,1476990081008.0,listener,"A light purple, sandy green, and a lightish gray purple",500.0,1.0,10,44,39.0,7.0,human
1274-7,1476493714558.0,44,far,target,83,61,50,2,1,distr2,29,73,50,1,3,distr1,216,14,50,3,2,47,44,37,True,1476493713252.0,speaker,lime,549.0,1.0,1,4,4.0,1.0,human
7480-8,1476993534623.0,19,close,target,224,38,50,1,1,distr2,229,73,50,2,3,distr1,220,77,50,3,2,7,13,8,True,1476993532036.0,speaker,Bluish gray,79.0,1.0,2,10,10.0,2.0,human
2901-6,1476991077854.0,21,split,target,128,46,50,2,2,distr1,117,28,50,1,1,distr2,266,6,50,3,3,8,37,33,True,1476991075142.0,speaker,brighter green,279.0,1.0,2,13,13.0,2.0,human
0415-a,1476501998956.0,19,close,target,151,88,50,1,2,distr1,140,56,50,3,1,distr2,114,54,50,2,3,10,13,6,True,1476501991662.0,speaker,"light green, bright,",549.0,1.0,3,16,16.0,3.0,human
8792-7,1476496059901.0,48,split,target,68,35,50,1,1,distr2,354,74,50,3,3,distr1,93,71,50,2,2,16,55,78,True,1476496055091.0,listener,I think we have different color boogers,814.0,1.0,7,33,26.0,4.0,human
6983-1,1459883183497.0,17,close,target,213,33,50,3,1,distr1,223,30,50,2,3,distr2,243,7,50,1,2,6,14,13,True,1459883169945.0,speaker,lighter blue,,1.0,2,11,11.0,2.0,human
9617-0,1476475515197.0,35,far,target,75,1,50,3,1,distr2,115,36,50,1,3,distr1,47,66,50,2,2,31,26,28,True,1476475513157.0,speaker,the gray,746.0,1.0,2,7,4.0,1.0,human
9520-5,1476470974015.0,15,close,target,280,85,50,1,2,distr1,248,75,50,3,3,distr2,251,54,50,2,1,15,13,6,True,1476470971008.0,speaker,pink purple,682.0,1.0,2,10,10.0,2.0,human
9258-7,1477002559158.0,2,far,target,234,84,50,2,2,distr1,158,43,50,1,1,distr2,88,79,50,3,3,58,81,24,True,1477002558153.0,speaker,blue,232.0,1.0,1,4,4.0,1.0,human
1486-e,1459901443420.0,27,close,target,83,7,50,2,3,distr1,145,35,50,3,2,distr2,172,31,50,1,1,19,18,13,True,1459901441726.0,speaker,grey,30.0,1.0,1,4,4.0,1.0,human
4706-9,1476991762749.0,21,far,target,104,83,50,2,1,distr2,87,12,50,1,3,distr1,218,19,50,3,2,54,30,29,True,1476991760886.0,speaker,green again,411.0,1.0,2,10,5.0,1.0,human
4216-9,1476495728104.0,23,close,distr2,226,4,50,2,3,target,97,1,50,1,1,distr1,27,21,50,3,2,15,6,18,False,1476495724418.0,speaker,"gray not light light blue,",909.0,0.0,5,21,18.0,4.0,human
2918-7,1476490002702.0,48,split,target,153,70,50,3,3,distr2,241,79,50,1,1,distr1,161,86,50,2,2,6,70,72,True,1476489964349.0,speaker,blue but not lightest or darkest,834.0,1.0,6,27,19.0,3.0,human
